date,orders,active_customers,gross_revenue,return_revenue,items_sold,rows,net_revenue
2010-12-01,143,98,58635.56,-325.23,27007.0,3108,58635.56
2010-12-02,167,117,46207.28,-1541.1,31348.0,2109,46207.28
2010-12-03,108,55,45620.46,-1323.25,16471.0,2202,45620.46
2010-12-05,95,76,31383.95,-391.0,16451.0,2725,31383.95
2010-12-06,133,90,53860.18,-970.28,21951.0,3878,53860.18
2010-12-07,111,70,45059.05,-54559.15000000001,25365.0,2963,45059.05
2010-12-08,148,112,44189.84,-1200.14,23125.0,2647,44189.84
2010-12-09,183,122,52532.13,-1054.05,20730.0,2891,52532.13
2010-12-10,91,54,57404.91,-1778.0100000000002,21155.0,2758,57404.91
2010-12-12,51,42,17240.920000000002,-88.15000000000002,10603.0,1451,17240.920000000002
2010-12-13,84,61,35379.34,-2627.37,17727.0,2283,35379.34
2010-12-14,144,104,42843.29,-2411.44,20767.0,2087,42843.29
2010-12-15,98,86,29443.69,-1000.93,18493.0,1349,29443.69
2010-12-16,150,117,48334.35,-1018.5499999999998,29947.0,1790,48334.35
2010-12-17,72,52,43534.19,-1884.14,16959.0,3115,43534.19
2010-12-19,25,17,7517.31,-17.6,3799.0,522,7517.31
2010-12-20,96,59,24741.75,-2047.38,15793.0,1763,24741.75
2010-12-21,66,31,47097.94,-206.15,15658.0,1586,47097.94
2010-12-22,22,17,6134.570000000001,-65.4,3213.0,291,6134.570000000001
2010-12-23,38,23,11796.31,-279.8,5754.0,963,11796.31
2011-01-04,57,38,14950.48,-1075.6,8678.0,1184,14950.48
2011-01-05,76,56,-1566.23,-34200.700000000004,19806.0,1743,-1566.23
2011-01-06,78,66,37392.74,-2990.11,23178.0,1832,37392.74
2011-01-07,58,49,27233.14,-1603.45,17160.0,1794,27233.14
2011-01-09,51,48,15710.8,-67.4,8202.0,1117,15710.8
2011-01-10,61,35,24191.64,-377.43,13091.0,1976,24191.64
2011-01-11,84,61,67817.13,-838.46,29458.0,1454,67817.13
2011-01-12,62,49,23958.78,-735.0,10623.0,1809,23958.78
2011-01-13,51,47,20533.54,-91.1,10175.0,1445,20533.54
2011-01-14,56,46,47377.26,-199.64,23149.0,1510,47377.26
2011-01-16,29,22,7116.61,-125.45000000000002,4204.0,646,7116.61
2011-01-17,55,48,29256.0,-77.02,13397.0,2557,29256.0
2011-01-18,51,34,18680.8,-77297.24999999999,82978.0,1447,18680.8
2011-01-19,43,35,25585.81,-348.75999999999993,17387.0,1416,25585.81
2011-01-20,54,37,17995.91,-3251.08,10497.0,1502,17995.91
2011-01-21,64,51,31978.44,-661.86,15305.0,1594,31978.44
2011-01-23,30,27,10285.95,-114.3,5241.0,879,10285.95
